Group,Samples,n,Max_avg,Max_std,Kd_avg,Kd_std,Seed_avg,Seed_std,SSD_avg,SSD_std
A,A-1_A-2_A-3,3,6.47483141531098,0.10194721733672976,0.18269583698956673,0.0033680579687087103,0.000153779594977865,2.454085180290567e-07,0.0010652025168065996,0.0001259811241022177
B,B-1_B-2_B-3,3,4.709297551245229,0.017061526899288307,0.26959663541731543,0.0012430603354389267,1.204607391430001e-07,3.039631135667418e-10,0.00029810687141855,1.4153272606911301e-05
C,C-1_C-2_C-3,3,5.300930497542114,0.0066617249430069555,0.232508197069494,0.00036036486683762334,7.444452686651521e-07,3.109963325568521e-09,8.628680213904024e-05,1.5827173770346463e-06
D,D-1_D-2_D-3,3,5.7062719208858725,1.6690118236109492,0.22842518076630725,0.06748221922085326,1.0840605061937361e-09,2.8875360583342122e-11,0.0001048917893799875,3.724906233435758e-05
E,E-1_E-2_E-3,3,6.304775513061319,0.11089881117353392,0.18856383452350292,0.0039066662796035335,0.00013726706889337077,2.671366578133229e-07,0.0008152234931662108,0.00013764439070324856
F,F-1_F-2_F-3,3,4.670765818263162,0.059248666347648644,0.27246962489919757,0.004359245667446195,2.15195435718802e-07,3.739736620795486e-09,0.0003966335451414217,1.7762273702420636e-05
G,G-1_G-2_G-3,3,5.272645486272008,0.02800286213588866,0.23405374526857392,0.0015367200720324266,4.704585940530056e-07,3.759854871751211e-09,7.234286873850766e-05,3.332148579065365e-05
H,H-1_H-2_H-3,3,4.628099057001818,0.006446785787223865,0.27562702288219537,0.0004896461909847151,8.111339756802108e-10,2.935628278100052e-11,0.00015141181880699105,1.2726366353038995e-05
