Sample,Max,Kd,Seed,SSD
A-1,6.59174591122421,0.1788350214957122,0.0001535871098000796,0.0012106531011823957
A-2,6.404479395111112,0.18503169790566612,0.00015405594151721662,0.0009903941358992906
A-3,6.428268939597618,0.18422079156732196,0.00015369573361629878,0.0009945603133381124
B-1,4.721471699394431,0.268710897669855,1.2044598496626706e-07,0.0003085036250841193
B-2,4.689796369381957,0.2710176660770424,1.2077181066679618e-07,0.00028198852387158077
B-3,4.716624584959303,0.269061342505049,1.2016442179593704e-07,0.00030382846529995
C-1,5.302968762961071,0.2323976888964009,7.456143037360293e-07,8.627248777078413e-05
C-2,5.293487761110605,0.23291087567303756,7.409201917205746e-07,8.471129049498172e-05
C-3,5.306334968554667,0.2322160266390435,7.468013105388525e-07,8.787662815135489e-05
D-1,4.826914437338476,0.2613071227145129,1.100936371753714e-09,0.00014709860108802177
D-2,7.631093174154692,0.15080469253963513,1.1005261940344362e-09,7.661681264709294e-05
D-3,4.6608081511644475,0.2731637270447737,1.0507189527930586e-09,9.09599544048478e-05
E-1,6.429247299178137,0.18418759437021667,0.00013734875255804594,0.0009739790344197596
E-2,6.268590093422219,0.18980409753773358,0.0001374838271932956,0.0007424401810492844
E-3,6.216489146583602,0.1916998116625585,0.0001369686269287708,0.0007292512640295883
F-1,4.642906032986459,0.27450611994399426,2.111324210885027e-07,0.00038651597931317437
F-2,4.738809283480184,0.2674648326650799,2.1849365692366756e-07,0.0004171430404456915
F-3,4.630582138322844,0.2754379220885186,2.1596022914423573e-07,0.0003862416156653992
G-1,5.297681377831405,0.2326836047263093,4.734426639675041e-07,5.288555870997552e-05
G-2,5.277849374149444,0.23376231937964234,4.716974936822432e-07,5.332467644499196e-05
G-3,5.242405706835174,0.23571531169977009,4.6623562450926954e-07,0.0001108183710605555
H-1,4.627512179599997,0.2756710345384667,7.902823382270053e-10,0.00014060528453278213
H-2,4.634819215563806,0.2751168566061228,7.984146383183762e-10,0.0001481910200070201
H-3,4.62196577584165,0.27609317750199674,8.447049504952508e-10,0.0001654391518811709
