Group,Samples,n,Max_avg,Max_std,Kd_avg,Kd_std,Seed_avg,Seed_std,SSD_avg,SSD_std
A,A-1_A-2_A-3,3,145441.08666947062,12056.361395941534,4111.852657489785,459.38611420332785,3.457538887582063,0.3336232043626034,534289.4603100601,51460.800955204286
B,B-1_B-2_B-3,3,108750.20501962013,1758.9148484780815,6225.7988953338745,110.17819728099819,0.002781744258753441,4.2869285110647045e-05,158971.01199046316,8364.709954665006
C,C-1_C-2_C-3,3,126322.98891067445,496.64815214599827,5540.722360532122,7.033860688975451,0.017740474002447756,0.00012052031169769637,49004.26101419301,1163.7883170018144
D,D-1_D-2_D-3,3,138917.80545952948,45706.92719356296,5488.340731044206,1475.9092832489077,2.6234594826708935e-05,1.5548117098445672e-06,61116.53522505192,21058.389781722883
E,E-1_E-2_E-3,3,146622.17127599753,8098.924446022191,4393.02927998977,403.0822566632953,3.1946627111243266,0.2254021449880187,436716.3965024588,27088.82186002657
F,F-1_F-2_F-3,3,112512.82750684382,685.159970039304,6564.446277462681,158.80616676923952,0.005183632902856558,4.959722677085025e-05,230082.58506921015,6550.827507326828
G,G-1_G-2_G-3,3,129776.90169699572,1129.7109748555135,5760.786657846919,49.1449604738561,0.01157957608846904,0.00013097666690749276,43749.66874837202,19868.539081803014
H,H-1_H-2_H-3,3,109134.08577964538,6730.693878235136,6498.944139740507,387.98651418432013,1.909854694295816e-05,4.9780362243836e-07,83828.39573136719,3419.0083472865304
