Sample,Max,Kd,Seed,SSD
A-1,132734.2567974149,3601.0996366711165,3.09269669783675,490890.74538411654
A-2,146869.23957576603,4243.196447553696,3.5328522099750583,520837.3214743865
A-3,156719.7636352309,4491.261888244544,3.7470677549343816,591140.314071677
B-1,107218.12148799142,6102.054564802402,0.002735162478932988,159089.63640418666
B-2,108361.55137828995,6262.083160098029,0.0027905307028808363,150547.62070625983
B-3,110670.94219257905,6313.258961101192,0.0028195395944464983,167275.778860943
C-1,126375.17808815087,5538.274554810815,0.01776875309089667,48995.67157818908
C-2,125802.30701483486,5535.239447340806,0.01760832867277579,47844.79118857726
C-3,126791.4816290376,5548.653079444746,0.01784434024367081,50172.32027581271
D-1,116316.85764636779,6296.863945343932,2.6529879674457456e-05,85419.03551979936
D-2,191522.28718542153,3784.8386260133184,2.7620590103560437e-05,48260.20368746798
D-3,108914.27154679912,6383.319621775369,2.4553314702108923e-05,49670.366467888394
E-1,138591.28815509673,3970.4174772408437,2.9607416980893557,452586.10129027435
E-2,146487.76170584108,4435.4424527766705,3.212795859533242,405438.05203420745
E-3,154787.46396705476,4773.227909951795,3.410450575750382,452125.0361828946
F-1,112731.38162879103,6665.104597024865,0.005126368991289266,227864.84663110078
F-2,113062.0485524576,6381.3755430671235,0.005212984738747701,237454.40632351537
F-3,111745.05233928283,6646.858692296051,0.0052115449785327065,224928.50225301427
G-1,129880.08537178214,5704.564238632571,0.011607110877654168,31787.07150588205
G-2,130851.48113150221,5795.569210890118,0.011694596363366198,32777.17588642327
G-3,128599.13858770282,5782.226524018071,0.011437021024386752,66684.75885281073
H-1,114449.06865692072,6817.983511227701,1.954550798618436e-05,86006.4493282319
H-2,111387.34355504974,6611.810108482776,1.9188080503921807e-05,85590.97900019572
H-3,101565.84512696568,6067.038799511048,1.856205233876831e-05,79887.75886567398
